pose_index,cumulative_steps,physical_angle_deg,runtime_correction_deg,reference_v3_2_correction_deg_diagnostic_only
0,0,0.0,0.0,0.0
1,82,14.364963503649635,0.0,-0.03738690164005322
2,164,28.72992700729927,0.0,-0.10660843340682818
3,247,43.27007299270073,0.0,-0.12934822680548821
4,329,57.63503649635037,0.0,-0.12470678168810669
5,411,72.0,0.0,-0.07388670802091293
6,493,86.36496350364963,0.0,-0.03879603020828003
7,575,100.72992700729927,0.0,-0.05362734525957011
8,658,115.27007299270073,0.0,-0.07797709451803167
9,740,129.63503649635035,0.0,-0.09714521127974964
10,822,144.0,0.0,-0.07781810000825513
11,904,158.36496350364965,0.0,-0.016923332359648453
12,986,172.72992700729927,0.0,-0.008347981838980863
13,1069,187.27007299270073,0.0,-0.01686933243828197
14,1151,201.63503649635035,0.0,-0.018411546487622495
15,1233,216.0,0.0,0.020340105815404047
16,1315,230.36496350364965,0.0,0.033812483974183856
17,1397,244.72992700729927,0.0,0.0503182812045326
18,1480,259.2700729927007,0.0,0.03250584412744992
19,1562,273.6350364963504,0.0,0.003554232721921924
20,1644,288.0,0.0,-0.004140616496553031
21,1726,302.3649635036496,0.0,-0.008029743658422302
22,1808,316.7299270072993,0.0,-0.014852876179497517
23,1891,331.2700729927007,0.0,-0.0033453148740549095
24,1973,345.6350364963504,0.0,-0.018968164933351222
